APM,Precision,AvgDistance,DamageTakenPerMin,DamageDealtPerMin,RangedRatio,DashPerMin,ShieldPerMin,TimeInRiskZone,RewardChosen
55.86,0.85,2.07,251.37,1117.19,0.00,13.96,0.00,0.78,Sword Damage
62.79,0.95,2.16,239.21,1196.07,0.00,8.97,0.00,0.77,Health
66.91,0.87,2.45,225.47,1163.74,0.00,17.46,2.91,0.75,Armor
60.16,0.80,2.29,165.45,1203.29,0.00,15.04,0.00,0.71,Sword Damage
48.20,0.95,2.68,152.21,1014.77,0.00,20.30,0.00,0.80,Health
51.98,0.84,3.31,218.88,1094.42,0.00,13.68,0.00,0.64,Max Health
53.65,0.87,4.94,186.61,933.06,0.00,11.66,0.00,0.68,Health
64.79,0.84,2.59,315.42,1159.40,0.00,13.64,0.00,0.76,Max Health
51.24,0.95,3.44,231.79,975.96,0.00,14.64,2.44,0.63,Max Health
44.43,0.95,3.30,327.92,909.72,0.00,15.87,1.06,0.52,Sword Damage
