APM,Precision,AvgDistance,DamageTakenPerMin,DamageDealtPerMin,RangedRatio,DashPerMin,ShieldPerMin,TimeInRiskZone,RewardChosen,PerfilJugador
38.82,0.41,3.24,91.1,475.79,0.21,5.37,5.58,0.46,Shield,Unskilful
50.03,0.78,3.64,155.69,1205.92,0.32,15.85,5.36,0.47,Health,Speedrunner
43.56,0.91,3.89,185.34,1576.33,0.38,7.62,3.0,0.41,Health,Speedrunner
29.71,1.0,5.86,21.5,776.86,0.5,9.38,3.89,0.23,Shield,Expert
21.61,0.93,6.99,0.0,605.51,0.71,7.47,0.0,0.03,Bow Damage,Expert
48.68,0.95,2.79,54.94,1190.97,0.32,14.99,5.2,0.57,Sword Damage,Expert
16.5,1.0,7.17,9.83,532.56,0.99,7.03,0.02,0.01,Bow Damage,Tactic
50.54,0.79,3.66,158.61,1161.46,0.34,15.51,5.28,0.48,Health,Speedrunner
20.82,1.0,6.85,3.61,685.58,1.0,7.9,0.0,0.04,Shield,Tactic
17.24,0.91,6.29,73.73,522.05,0.98,5.51,1.18,0.04,Bow Damage,Tactic
57.21,0.8,3.59,348.9,1211.02,0.0,13.24,0.13,0.65,Velocity,Berserker
21.02,0.69,7.04,12.44,486.89,0.78,7.18,1.49,0.08,Bow Damage,Tactic
21.15,1.0,7.06,0.0,724.68,1.0,7.9,0.15,0.03,Bow Damage,Tactic
58.68,1.0,3.18,213.69,1483.2,0.2,7.0,7.79,0.62,Bow Damage,Speedrunner
23.14,0.86,6.13,45.59,675.61,0.88,8.08,3.34,0.04,Bow Damage,Tactic
37.76,0.99,3.76,102.21,1059.56,0.32,17.13,6.73,0.55,Sword Damage,Speedrunner
26.06,0.73,4.48,126.76,601.63,0.36,4.93,3.93,0.4,Armor,Unskilful
45.31,0.85,4.02,159.29,1023.05,0.34,16.61,7.49,0.42,Velocity,Speedrunner
57.63,0.9,2.09,201.57,1039.3,0.05,17.36,0.0,0.85,Sword Damage,Berserker
23.41,0.88,5.99,44.7,650.76,0.89,7.48,3.24,0.05,Bow Damage,Tactic
56.68,0.89,2.76,213.12,1223.8,0.0,9.04,0.08,0.77,Sword Damage,Berserker
62.47,0.99,1.88,167.55,1646.56,0.45,10.91,7.26,0.67,Velocity,Speedrunner
18.87,0.92,6.03,79.38,555.71,0.86,5.53,1.95,0.25,Max Health,Tactic
59.51,0.84,1.35,260.44,904.53,0.0,12.58,0.01,0.95,Sword Damage,Berserker
40.07,0.94,3.51,111.88,930.48,0.0,13.82,0.0,0.5,Velocity,Berserker
33.23,0.57,4.59,130.78,562.77,0.4,6.97,6.26,0.33,Shield,Unskilful
31.57,0.99,4.68,19.12,903.62,0.54,14.84,5.49,0.32,Bow Damage,Expert
52.8,0.87,3.94,122.77,1243.23,0.39,14.18,8.39,0.57,Bow Damage,Speedrunner
20.93,1.0,5.71,0.0,708.37,1.0,7.19,1.97,0.09,Bow Damage,Tactic
16.89,0.93,6.12,76.89,522.08,1.0,6.23,0.95,0.02,Bow Damage,Tactic
36.39,0.95,4.53,226.25,1031.93,0.44,14.86,0.5,0.41,Velocity,Speedrunner
21.05,0.86,6.31,54.86,648.03,0.93,11.09,2.93,0.07,Armor,Tactic
29.76,0.85,6.85,25.47,689.12,0.41,11.7,3.3,0.28,Bow Damage,Expert
69.92,0.77,2.29,295.06,1556.26,0.0,10.88,0.0,0.8,Velocity,Berserker
46.89,1.0,2.97,115.34,1287.15,0.35,19.14,8.15,0.56,Bow Damage,Expert
53.79,1.0,3.89,125.8,1562.73,0.37,15.67,3.2,0.75,Bow Damage,Speedrunner
29.19,0.99,4.05,30.56,802.16,0.6,13.16,4.39,0.23,Bow Damage,Expert
61.79,0.81,2.86,146.61,1191.8,0.0,7.93,0.04,0.76,Velocity,Berserker
49.26,0.5,2.51,147.3,693.87,0.22,4.75,3.05,0.74,Max Health,Unskilful
63.7,0.89,1.76,170.1,1211.09,0.0,14.27,0.0,0.81,Sword Damage,Berserker
30.5,0.73,4.31,124.45,627.02,0.39,7.8,5.61,0.34,Armor,Unskilful
33.79,0.96,4.46,234.12,1066.66,0.45,15.19,0.05,0.41,Velocity,Speedrunner
31.31,1.0,4.86,30.22,1278.0,0.68,21.73,5.62,0.22,Velocity,Expert
23.72,1.0,4.47,4.13,809.44,0.85,9.16,1.9,0.2,Max Health,Tactic
39.21,0.54,3.22,113.63,514.15,0.3,5.85,2.64,0.58,Armor,Unskilful
58.64,0.82,2.6,158.82,1210.37,0.0,8.77,0.17,0.74,Velocity,Berserker
38.06,0.43,3.24,99.59,465.09,0.17,4.9,6.13,0.44,Shield,Unskilful
77.03,1.0,2.35,300.4,2046.3,0.0,4.33,0.12,0.69,Health,Berserker
36.24,0.74,4.69,136.54,642.93,0.25,3.41,5.63,0.38,Health,Unskilful
20.58,0.68,7.0,13.49,448.4,0.81,6.37,0.95,0.06,Bow Damage,Tactic
50.46,0.96,3.63,197.49,1195.13,0.38,12.77,5.0,0.59,Velocity,Speedrunner
41.57,0.88,3.9,273.62,885.66,0.0,13.03,0.0,0.68,Sword Damage,Berserker
58.28,0.85,1.99,232.76,1125.76,0.0,13.59,0.0,0.76,Sword Damage,Berserker
47.23,0.79,3.71,154.76,1206.54,0.32,15.16,5.42,0.47,Health,Speedrunner
46.07,0.83,3.52,179.97,1081.43,0.3,16.36,5.51,0.4,Velocity,Speedrunner
