Session_ID,DDA_Active,Room_Index,Active_Profile,Time_In_Room,Damage_Taken,Remaining_Health_Percentage,Room_Cleared
20260608150908,True,1,Default,42.78,20.00,0.80,True
20260608150908,True,2,Tactic,50.77,32.50,0.48,True
20260608150908,True,3,Tactic,49.22,35.00,0.13,True
20260608150908,True,4,Expert,39.41,16.00,0.00,False
20260608151230,True,1,Default,33.54,10.00,0.90,True
20260608151230,True,2,Tactic,56.50,40.00,0.50,True
20260608151230,True,3,Expert,48.23,30.00,0.20,True
20260608151230,True,4,Tactic,49.16,6.00,0.14,True
20260608151230,True,5,Tactic,9.76,15.00,0.00,False
20260608151612,True,1,Default,43.49,50.00,0.50,True
20260608151612,True,2,Expert,45.91,57.60,0.00,False
20260608151751,True,1,Default,46.92,72.50,0.28,True
20260608151751,True,2,Expert,15.88,102.00,0.00,False
20260608151903,True,1,Default,38.83,0.00,1.00,True
20260608151903,True,2,Speedrunner,67.49,64.00,0.36,True
20260608151903,True,3,Tactic,18.52,40.00,0.00,False
20260608152122,False,1,Default,38.07,10.00,0.90,True
20260608152122,False,2,Tactic,35.43,20.00,0.70,True
20260608152122,False,3,Expert,24.85,30.00,0.40,True
20260608152122,False,4,Expert,27.04,15.00,0.38,True
20260608152122,False,5,Tactic,35.41,30.00,0.25,True
20260608152122,False,6,Tactic,33.34,20.00,0.22,True
20260608152122,False,7,Expert,42.44,0.00,0.22,True
20260608152122,False,8,Tactic,43.71,0.00,0.22,True
20260608152122,False,9,Tactic,19.74,0.00,0.22,True
20260608152122,False,10,Tactic,35.16,0.00,0.22,True
20260608152122,False,11,Expert,38.40,4.00,0.60,True
20260608152122,False,12,Expert,24.06,9.00,0.94,True
20260608152122,False,13,Expert,19.04,18.00,0.83,True
20260608152122,False,14,Expert,25.66,4.00,0.81,True
20260608152122,False,15,Expert,24.69,0.00,0.83,True
20260608153026,False,1,Expert,26.26,40.00,0.60,True
20260608153026,False,2,Speedrunner,31.92,53.50,0.07,True
20260608153026,False,3,Speedrunner,20.22,76.00,0.00,False
20260608153159,False,1,Default,23.29,37.50,0.63,True
20260608153159,False,2,Unskilful,21.43,32.50,0.42,True
20260608153159,False,3,Speedrunner,26.67,57.50,0.48,True
20260608153159,False,4,Speedrunner,34.56,47.50,0.21,True
20260608153159,False,5,Expert,35.34,47.50,0.02,True
20260608153159,False,6,Expert,2.43,10.00,0.00,False
20260608153449,False,1,Default,21.75,52.50,0.48,True
20260608153449,False,2,Expert,15.15,70.00,0.00,False
20260608153535,False,1,Default,25.33,5.00,0.95,True
20260608153535,False,2,Speedrunner,18.93,35.00,0.60,True
20260608153535,False,3,Speedrunner,24.12,43.00,0.17,True
20260608153535,False,4,Speedrunner,33.58,42.00,0.40,True
20260608153535,False,5,Speedrunner,21.25,28.00,0.12,True
20260608153535,False,6,Speedrunner,13.88,34.00,0.00,False
20260608154649,True,1,Default,49.38,60.00,0.40,True
20260608154649,True,2,Unskilful,15.64,0.00,0.40,True
20260608154649,True,3,Tactic,34.04,40.00,0.00,False
20260608154842,True,1,Default,30.53,40.00,0.60,True
20260608154842,True,2,Unskilful,38.14,5.00,0.55,True
20260608154842,True,3,Tactic,57.89,46.00,0.09,True
20260608154842,True,4,Tactic,20.11,39.00,0.00,False
20260608155126,True,1,Default,30.76,105.00,0.00,False
20260608211138,False,1,Default,27.56,15.00,0.85,True
20260608211138,False,2,Expert,58.61,30.00,0.63,True
20260608211138,False,3,Tactic,24.93,105.00,0.00,False
20260608211341,False,1,Default,49.99,25.00,0.75,True
20260608211341,False,2,Unskilful,33.35,15.00,0.60,True
20260608211341,False,3,Tactic,52.22,25.00,0.35,True
20260608211341,False,4,Tactic,69.93,0.00,0.35,True
20260608211341,False,5,Tactic,34.82,15.00,0.85,True
20260608211341,False,6,Tactic,36.46,0.00,1.00,True
20260608211341,False,7,Tactic,20.12,10.00,0.90,True
20260608211341,False,8,Expert,22.47,15.00,0.75,True
20260608211341,False,9,Unskilful,28.04,70.00,0.05,True
20260608211341,False,10,Unskilful,22.19,75.00,0.00,False
20260608212033,False,1,Default,38.49,90.00,0.10,True
20260608212033,False,2,Berserker,1.91,12.00,0.00,False
20260608212327,False,1,Default,45.11,105.00,0.00,False
20260608212415,False,1,Default,27.09,65.00,0.35,True
20260608212415,False,2,Expert,23.19,55.00,0.45,True
20260608212415,False,3,Berserker,18.48,107.50,0.00,False
20260608212535,False,1,Default,19.63,65.00,0.35,True
20260608212535,False,2,Speedrunner,10.61,37.50,0.00,False
20260608212613,False,1,Default,21.25,80.00,0.20,True
20260608212613,False,2,Expert,10.50,26.00,0.00,False
20260608212708,True,1,Default,24.47,87.50,0.13,True
20260608212708,True,2,Unskilful,13.06,2.00,0.11,True
20260608212708,True,3,Expert,5.16,43.20,0.00,False
