APM,Precision,AvgDistance,DamageTakenPerMin,DamageDealtPerMin,RangedRatio,DashPerMin,ShieldPerMin,TimeInRiskZone,RewardChosen,PerfilJugador
55.86,0.85,02.07,251.37,1117.19,0.00,13.96,0.00,0.78,Sword Damage,Berserker
62.79,0.95,2.16,239.21,1196.07,0.00,8.97,0.00,0.77,Health,Berserker
66.91,0.87,2.45,225.47,1163.74,0.00,17.46,2.91,0.75,Armor,Berserker
60.16,0.80,2.29,165.45,1203.29,0.00,15.04,0.00,0.71,Sword Damage,Berserker
48.20,0.95,2.68,152.21,1014.77,0.00,20.30,0.00,0.80,Health,Berserker
51.98,0.84,3.31,218.88,1094.42,0.00,13.68,0.00,0.64,Max Health,Berserker
53.65,0.87,4.94,186.61,933.06,0.00,11.66,0.00,0.68,Health,Berserker
64.79,0.84,2.59,315.42,1159.40,0.00,13.64,0.00,0.76,Max Health,Berserker
51.24,0.95,3.44,231.79,975.96,0.00,14.64,2.44,0.63,Max Health,Berserker
44.43,0.95,3.30,327.92,909.72,0.00,15.87,01.06,0.52,Sword Damage,Berserker
40.38,0.89,3.88,254.24,837.49,0.00,13.46,0.00,0.67,Sword Damage,Berserker
59.42,0.95,2.64,141.47,1131.76,0.00,11.32,0.00,0.80,Sword Damage,Berserker
55.99,0.94,2.45,217.73,1244.15,0.00,6.22,0.00,0.70,Health,Berserker
64.86,0.93,3.27,237.84,1729.72,0.00,8.65,0.00,0.69,Velocity,Berserker
77.42,1.00,2.58,309.66,2064.41,0.00,5.16,0.00,0.73,Health,Berserker
60.40,0.91,1.99,164.72,1098.11,0.00,5.49,0.00,0.83,Sword Damage,Berserker
82.41,0.86,4.00,412.04,2354.50,0.00,0.00,0.00,0.74,Sword Damage,Berserker
90.60,0.83,1.78,226.50,1509.99,0.00,0.00,0.00,0.83,Sword Damage,Berserker
52.70,0.83,3.62,316.21,1089.17,0.00,8.78,0.00,0.78,Health,Berserker
48.48,0.83,5.94,141.41,808.06,0.00,14.14,0.00,0.59,Max Health,Berserker
46.90,0.83,2.96,87.93,781.60,0.00,5.86,0.00,0.67,Max Health,Berserker
60.17,0.81,2.80,157.58,1146.04,0.00,8.60,0.00,0.75,Velocity,Berserker
68.25,0.77,3.52,118.12,1049.99,0.00,13.12,0.00,0.73,Sword Damage,Berserker
39.01,0.94,3.32,121.92,975.32,0.00,14.63,0.00,0.52,Velocity,Berserker
76.11,0.87,2.22,132.37,1323.72,0.00,9.93,0.00,0.83,Sword Damage,Berserker
59.30,0.91,02.04,202.16,1118.59,0.05,16.17,0.00,0.84,Sword Damage,Berserker
55.12,0.94,5.33,275.62,1378.12,0.00,10.34,0.00,0.48,Sword Damage,Berserker
62.60,1.00,2.66,139.10,1391.04,0.00,10.43,0.00,0.76,Max Health,Berserker
60.94,0.94,1.82,323.76,1523.57,0.00,3.81,0.00,0.80,Velocity,Berserker
52.93,0.88,2.98,240.60,1154.88,0.00,9.62,0.00,0.73,Health,Berserker
68.26,0.78,2.46,284.42,1516.93,0.00,11.38,0.00,0.83,Velocity,Berserker
64.16,0.90,1.83,183.32,1222.16,0.00,15.28,0.00,0.82,Sword Damage,Berserker
50.67,0.83,3.38,63.34,844.57,0.00,10.56,0.00,0.62,Velocity,Berserker
59.47,0.81,3.49,335.74,1227.85,0.00,13.43,0.00,0.66,Velocity,Berserker
59.95,0.95,3.53,126.21,1262.05,0.00,18.93,0.00,0.67,Velocity,Berserker
73.76,0.91,1.88,234.69,1341.09,0.00,10.06,0.00,0.85,Health,Berserker
70.15,0.91,4.14,239.15,1275.46,0.00,12.75,0.00,0.75,Sword Damage,Berserker
58.23,0.89,2.60,229.84,1225.81,0.00,9.19,0.00,0.76,Sword Damage,Berserker
51.58,0.83,4.13,150.44,859.68,0.00,10.75,0.00,0.76,Max Health,Berserker
56.67,0.83,1.53,259.74,944.50,0.00,12.59,0.00,0.93,Sword Damage,Berserker
18.84,0.80,6.29,0.00,527.64,1.00,05.03,0.00,0.03,Armor,Tactic
23.24,0.74,5.85,24.46,525.89,0.68,12.23,3.67,0.16,Armor,Tactic
21.00,0.68,07.02,16.58,469.79,0.79,6.63,1.11,0.07,Bow Damage,Tactic
21.75,1.00,5.36,31.07,722.42,0.79,9.32,1.55,0.17,Bow Damage,Tactic
16.82,0.87,6.61,33.64,493.46,0.87,8.97,2.24,0.04,Bow Damage,Tactic
15.78,0.80,7.56,15.78,441.79,1.00,8.42,01.05,0.00,Shield,Tactic
25.99,1.00,06.03,18.56,826.06,0.79,9.28,1.86,0.22,Shield,Tactic
20.94,0.86,6.49,37.39,628.12,1.00,7.48,0.00,0.08,Armor,Tactic
21.16,1.00,7.20,0.00,740.74,1.00,8.82,0.00,0.05,Armor,Tactic
